n_samples,trial,mode,region,rel_err,neg_frac,rel_los,rel_trv,rel_R,rel_z,rel_phi,rel_err_sm,rel_los_sm,rel_trv_sm
100,0,LOS+rho,sun15,0.6997799277305603,0.267578125,0.3929496109485626,0.5205672979354858,0.3171854317188263,0.38387200236320496,0.3606080412864685,1.0547481775283813,0.6580886840820312,0.7381927967071533
100,0,LOS+Sun+rho,sun15,0.716741681098938,0.265625,0.40588387846946716,0.5298455357551575,0.32760414481163025,0.38151371479034424,0.3790290057659149,1.078115701675415,0.6799043416976929,0.7468977570533752
100,1,LOS+rho,sun15,0.519607663154602,0.134765625,0.20577290654182434,0.4503127634525299,0.25777071714401245,0.3012351989746094,0.23051251471042633,0.8232154250144958,0.39907628297805786,0.6711729168891907
100,1,LOS+Sun+rho,sun15,0.5974007248878479,0.16015625,0.2481725513935089,0.5133848786354065,0.2807910144329071,0.3601902425289154,0.2684178054332733,1.0014199018478394,0.49208593368530273,0.8196203112602234
100,2,LOS+rho,sun15,0.6132953763008118,0.166015625,0.3617600202560425,0.43864038586616516,0.3371458053588867,0.2893112599849701,0.3118375539779663,0.8968334794044495,0.6092336177825928,0.5596324801445007
100,2,LOS+Sun+rho,sun15,0.6351586580276489,0.1796875,0.383722722530365,0.44830843806266785,0.34863921999931335,0.2942955493927002,0.3231980502605438,0.9316733479499817,0.6445515155792236,0.571111798286438
100,0,LOS+rho,gc15,0.695285439491272,0.25390625,0.3875111937522888,0.5193313956260681,0.3219066262245178,0.3773869574069977,0.35402974486351013,1.1437501907348633,0.6731438040733337,0.8180536031723022
100,0,LOS+Sun+rho,gc15,0.7157679796218872,0.255859375,0.39885255694389343,0.5326162576675415,0.3329218924045563,0.3763734698295593,0.3753960132598877,1.186928629875183,0.6912319660186768,0.8479562997817993
100,1,LOS+rho,gc15,0.55133455991745,0.1484375,0.2154557853937149,0.4797784090042114,0.2711707353591919,0.3329266309738159,0.23176303505897522,1.0421748161315918,0.48238280415534973,0.8660917282104492
100,1,LOS+Sun+rho,gc15,0.6363466382026672,0.181640625,0.2618499994277954,0.548946738243103,0.3004946708679199,0.39574140310287476,0.27406126260757446,1.2662780284881592,0.5910211205482483,1.055090308189392
100,2,LOS+rho,gc15,0.614633321762085,0.203125,0.3613659143447876,0.4412519335746765,0.34609919786453247,0.28799551725387573,0.3076878786087036,0.9473270177841187,0.6209090948104858,0.6039527654647827
100,2,LOS+Sun+rho,gc15,0.6360785961151123,0.216796875,0.38598233461380005,0.4463731646537781,0.35764220356941223,0.28902965784072876,0.31692683696746826,0.9728550314903259,0.6617190837860107,0.5914782285690308
200,0,3D,sun4,0.03528770059347153,0.0,0.018965283408761024,0.02659180387854576,0.019502446055412292,0.019516175612807274,0.014065935276448727,0.021744346246123314,0.011274642311036587,0.0169315617531538
200,0,LOS,sun4,0.053377650678157806,0.015625,0.01970367319881916,0.04639448598027229,0.025459975004196167,0.034185077995061874,0.019476575776934624,0.03444898873567581,0.01232616975903511,0.030318040400743484
200,0,LOS+Sun,sun4,0.05524476617574692,0.013671875,0.020929690450429916,0.04789547622203827,0.028796564787626266,0.032925672829151154,0.020250558853149414,0.0394892692565918,0.01475957129150629,0.034346114844083786
200,1,3D,sun4,0.03545628488063812,0.017578125,0.01989109069108963,0.025998281314969063,0.020705878734588623,0.01844739355146885,0.013943304307758808,0.021954528987407684,0.012104188092052937,0.016418032348155975
200,1,LOS,sun4,0.05086854472756386,0.0,0.018442578613758087,0.04472094401717186,0.024094941094517708,0.03370969742536545,0.017109323292970657,0.036965686827898026,0.01179406326264143,0.033648040145635605
200,1,LOS+Sun,sun4,0.0503491535782814,0.0,0.019145861268043518,0.04369483143091202,0.026225870475172997,0.030707675963640213,0.017741886898875237,0.03629665449261665,0.012424134649336338,0.03235478699207306
200,2,3D,sun4,0.03477121889591217,0.0,0.01879192143678665,0.026383083313703537,0.01914972998201847,0.019133025780320168,0.01383807323873043,0.024464309215545654,0.011677774600684643,0.019829656928777695
200,2,LOS,sun4,0.05080155283212662,0.0,0.018540034070611,0.04456660896539688,0.02748754620552063,0.030837681144475937,0.01623951643705368,0.037772297859191895,0.012235229834914207,0.0341692715883255
200,2,LOS+Sun,sun4,0.05111562833189964,0.0,0.021876707673072815,0.04247067868709564,0.02790338173508644,0.03146568313241005,0.01666901260614395,0.03487643599510193,0.01624315232038498,0.028004441410303116
200,0,3D,sun15,0.562916100025177,0.201171875,0.31610608100891113,0.4133449196815491,0.2758227288722992,0.3303065299987793,0.23070311546325684,0.8102694153785706,0.5013251900672913,0.5664926767349243
200,0,LOS,sun15,0.5354247689247131,0.166015625,0.2575150430202484,0.4253716766834259,0.25540006160736084,0.34013479948043823,0.21268653869628906,0.9039314985275269,0.40574201941490173,0.7441929578781128
200,0,LOS+Sun,sun15,0.5635193586349487,0.16796875,0.27788764238357544,0.4425522983074188,0.27867236733436584,0.35354477167129517,0.21666079759597778,0.9373284578323364,0.430695116519928,0.7676723599433899
200,1,3D,sun15,0.7850291132926941,0.376953125,0.3552710711956024,0.6379150748252869,0.31981125473976135,0.45236736536026,0.41993921995162964,1.2816612720489502,0.5821079015731812,1.0435967445373535
200,1,LOS,sun15,0.7288028597831726,0.275390625,0.3465791344642639,0.5860031247138977,0.2931239902973175,0.4269011318683624,0.37679362297058105,1.2707912921905518,0.6553047895431519,0.9883629083633423
200,1,LOS+Sun,sun15,0.7106822729110718,0.26953125,0.33698123693466187,0.571046769618988,0.2891865074634552,0.406562477350235,0.37599891424179077,1.20973801612854,0.624535322189331,0.9365687370300293
200,2,3D,sun15,0.6153604984283447,0.19140625,0.3775581121444702,0.4205828905105591,0.3504968285560608,0.3024486303329468,0.2737760543823242,0.9390566349029541,0.6173257827758789,0.6144762635231018
200,2,LOS,sun15,0.650280773639679,0.16796875,0.4013952314853668,0.4488798975944519,0.3082231879234314,0.2661471962928772,0.3903389275074005,1.0985170602798462,0.7457992434501648,0.6900659799575806
200,2,LOS+Sun,sun15,0.6608301401138306,0.171875,0.4065994620323181,0.4574958086013794,0.3291141092777252,0.27454349398612976,0.3775472342967987,1.10182523727417,0.7443596124649048,0.6977049708366394
200,0,3D,gc15,0.5545079708099365,0.21484375,0.31054696440696716,0.40738674998283386,0.28042542934417725,0.32071176171302795,0.22131243348121643,0.8326469659805298,0.4967040419578552,0.5957978367805481
200,0,LOS,gc15,0.5645436644554138,0.16015625,0.27011141180992126,0.45322591066360474,0.2589690685272217,0.3495975136756897,0.24831834435462952,1.0971752405166626,0.4968474507331848,0.90852952003479
200,0,LOS+Sun,gc15,0.5831012725830078,0.16015625,0.28739655017852783,0.4617437720298767,0.2826359272003174,0.3683616518974304,0.23099933564662933,1.0906435251235962,0.5122649669647217,0.8962770104408264
200,1,3D,gc15,0.8329254388809204,0.296875,0.3518276512622833,0.6869035363197327,0.33531028032302856,0.44610005617141724,0.471591591835022,1.6162391901016235,0.5732972621917725,1.3927198648452759
200,1,LOS,gc15,0.7276841402053833,0.26953125,0.3477020859718323,0.585674524307251,0.3046618103981018,0.42033541202545166,0.3747280538082123,1.3623504638671875,0.69416344165802,1.065137505531311
200,1,LOS+Sun,gc15,0.7091772556304932,0.24609375,0.33490508794784546,0.5725877285003662,0.30021098256111145,0.402322918176651,0.3740212023258209,1.3041881322860718,0.6548764705657959,1.0236501693725586
200,2,3D,gc15,0.63079434633255,0.234375,0.3846217095851898,0.43100231885910034,0.3646480441093445,0.31388258934020996,0.27237460017204285,1.0538201332092285,0.6463928818702698,0.7160015106201172
200,2,LOS,gc15,0.6774021983146667,0.189453125,0.40992608666419983,0.4741629362106323,0.3133288621902466,0.2755430042743683,0.4107345938682556,1.2722690105438232,0.8126287460327148,0.8354097604751587
200,2,LOS+Sun,gc15,0.6887167692184448,0.19921875,0.4156637191772461,0.48273003101348877,0.3334525227546692,0.28583046793937683,0.39817216992378235,1.2749054431915283,0.8121763467788696,0.8410635590553284
200,0,LOS+rho,sun4,0.04772133380174637,0.0,0.01928093656897545,0.04064536094665527,0.025561802089214325,0.02837448939681053,0.01715810038149357,0.03128688037395477,0.012588226236402988,0.02684725634753704
200,0,LOS+Sun+rho,sun4,0.05406779795885086,0.0,0.021541140973567963,0.04648572579026222,0.032965172082185745,0.02959129959344864,0.017718443647027016,0.043095383793115616,0.015866605564951897,0.03801845759153366
200,1,LOS+rho,sun4,0.048285067081451416,0.0,0.01974763721227646,0.040900666266679764,0.02310005947947502,0.03156301751732826,0.01689501479268074,0.03493284061551094,0.01253354363143444,0.03066929802298546
200,1,LOS+Sun+rho,sun4,0.04468962550163269,0.0,0.018817225471138954,0.03747880458831787,0.022426599636673927,0.02643025666475296,0.018316611647605896,0.029464203864336014,0.011653215624392033,0.02525392360985279
