n_samples,trial,setting,sigma_mmsyr,arm,mode,region,rel_err,rel_los,rel_trv,rel_R,rel_z,rel_phi,rel_err_sm,rel_los_sm,rel_trv_sm,train_chi,train_err_true_mmsyr,train_err_smooth_mmsyr
200,2,s0,0.00,plain,3D,gc15,0.63079434633255,0.3846217095851898,0.43100231885910034,0.3646480441093445,0.31388258934020996,0.27237460017204285,1.0538201332092285,0.6463928818702698,0.7160015106201172,nan,0.179,0.105
200,2,s0.5,0.50,plain,LOS,sun4,0.07185697555541992,0.02868470549583435,0.06081312149763107,0.029489533975720406,0.05249781534075737,0.021829117089509964,0.05892153084278107,0.022966429591178894,0.05005841329693794,0.794,0.232,0.177
200,2,s0.5,0.50,plain,LOS,sun15,0.6779399514198303,0.3550959527492523,0.5198354721069336,0.37166714668273926,0.2880813181400299,0.36632609367370605,0.9742418527603149,0.5250928997993469,0.7367712259292603,0.794,0.232,0.177
200,2,s0.5,0.50,plain,LOS,gc15,0.7226834297180176,0.3585330545902252,0.5618651509284973,0.38422685861587524,0.30292871594429016,0.40143126249313354,1.2580366134643555,0.5647151470184326,1.0056060552597046,0.794,0.232,0.177
200,2,s0.5,0.50,plain,LOS+Sun+rho,sun4,0.06794840842485428,0.029392030090093613,0.056713756173849106,0.028722599148750305,0.045851752161979675,0.024274710565805435,0.05283305048942566,0.023408660665154457,0.04370875284075737,0.795,0.273,0.210
200,2,s0.5,0.50,plain,LOS+Sun+rho,sun15,0.8785017728805542,0.466387003660202,0.6713770031929016,0.39981645345687866,0.3539453148841858,0.5619310140609741,1.3697031736373901,0.7495870590209961,1.0392435789108276,0.795,0.273,0.210
200,2,s0.5,0.50,plain,LOS+Sun+rho,gc15,0.9400739669799805,0.4689367413520813,0.7327074408531189,0.4156847596168518,0.3706638813018799,0.6167418956756592,1.7626729011535645,0.790424108505249,1.4162094593048096,0.795,0.273,0.210
200,2,s1.7,1.70,plain,LOS,sun4,0.21339166164398193,0.08925603330135345,0.17879417538642883,0.09709975123405457,0.14235131442546844,0.0837472602725029,0.21729692816734314,0.08713532984256744,0.1842423677444458,0.699,0.785,0.755
200,2,s1.7,1.70,plain,LOS,sun15,5.0426788330078125,2.1927807331085205,4.206205368041992,1.1797326803207397,3.196798801422119,2.917940139770508,7.9981231689453125,3.552220344543457,6.652142524719238,0.699,0.785,0.755
200,2,s1.7,1.70,plain,LOS,gc15,5.480093002319336,2.27349591255188,4.6661529541015625,1.3934204578399658,3.587515354156494,2.9959702491760254,9.921602249145508,4.016086578369141,8.575571060180664,0.699,0.785,0.755
200,2,s1.7,1.70,plain,LOS+Sun+rho,sun4,0.2063549906015396,0.09540516138076782,0.1678810864686966,0.08803420513868332,0.13341814279556274,0.09013713896274567,0.2057424783706665,0.09246091544628143,0.16939397156238556,0.678,0.796,0.774
200,2,s1.7,1.70,plain,LOS+Sun+rho,sun15,1.6225091218948364,0.7933143377304077,1.2888514995574951,0.5733942985534668,1.0714019536972046,0.7730662822723389,2.6043179035186768,1.3013700246810913,2.057560682296753,0.678,0.796,0.774
200,2,s1.7,1.70,plain,LOS+Sun+rho,gc15,1.828519582748413,1.009629249572754,1.3307095766067505,0.7684423923492432,1.1075823307037354,0.8485530614852905,2.9900596141815186,1.648422360420227,2.1805710792541504,0.678,0.796,0.774
200,2,s4.3,4.30,plain,LOS,sun4,1.0950740575790405,0.3790104389190674,0.9748762249946594,0.44995397329330444,0.6455267667770386,0.5146414041519165,1.0996781587600708,0.38017088174819946,0.9792608022689819,0.543,2.383,2.369
200,2,s4.3,4.30,plain,LOS,sun15,6.989109992980957,2.969207286834717,5.91143274307251,2.3840723037719727,4.217962265014648,3.850919246673584,11.205949783325195,4.538315296173096,9.697296142578125,0.543,2.383,2.369
200,2,s4.3,4.30,plain,LOS,gc15,6.946287155151367,2.8279378414154053,5.949062824249268,2.3437371253967285,4.124689102172852,3.8775641918182373,11.377829551696777,4.306397914886475,10.0029878616333,0.543,2.383,2.369
200,2,s4.3,4.30,plain,LOS+Sun+rho,sun4,0.812372624874115,0.3184489905834198,0.7013351917266846,0.34751489758491516,0.5212551951408386,0.32285523414611816,0.8133327960968018,0.3185807466506958,0.7022646069526672,0.635,2.395,2.393
200,2,s4.3,4.30,plain,LOS+Sun+rho,sun15,3.862790584564209,2.2329189777374268,2.5579299926757812,1.8128321170806885,1.88690185546875,2.0827465057373047,5.9226226806640625,3.02409029006958,4.3165283203125,0.635,2.395,2.393
200,2,s4.3,4.30,plain,LOS+Sun+rho,gc15,4.636206150054932,3.0356671810150146,2.611751079559326,2.553436517715454,1.9145314693450928,2.2648324966430664,6.955235958099365,3.8738460540771484,4.593352317810059,0.635,2.395,2.393
200,2,het,1.69,plain,LOS,sun4,0.24452504515647888,0.10766571760177612,0.19905692338943481,0.12196766585111618,0.15735751390457153,0.08501137793064117,0.2386784553527832,0.10546289384365082,0.19408686459064484,0.811,0.860,0.827
200,2,het,1.69,plain,LOS,sun15,7.898803234100342,4.531453609466553,5.907106399536133,2.488593816757202,5.231873512268066,4.240948677062988,10.752896308898926,5.983492374420166,8.197990417480469,0.811,0.860,0.827
200,2,het,1.69,plain,LOS,gc15,9.269696235656738,5.41980504989624,6.914190292358398,3.413281202316284,6.269146919250488,4.544893264770508,12.949458122253418,7.1193718910217285,9.966020584106445,0.811,0.860,0.827
200,2,het,1.69,plain,LOS+Sun+rho,sun4,0.4200255572795868,0.18020674586296082,0.3515316843986511,0.1572367250919342,0.3207516074180603,0.12507416307926178,0.42633458971977234,0.17942267656326294,0.3585895001888275,0.900,1.091,1.070
200,2,het,1.69,plain,LOS+Sun+rho,sun15,2.9715752601623535,1.7454675436019897,2.0409374237060547,1.3048295974731445,1.7590808868408203,1.3532168865203857,4.623621463775635,2.4561948776245117,3.4401676654815674,0.900,1.091,1.070
200,2,het,1.69,plain,LOS+Sun+rho,gc15,3.6828455924987793,2.2536540031433105,2.4048359394073486,1.8288137912750244,2.1186463832855225,1.5122289657592773,5.967927932739258,3.06921124458313,4.412972450256348,0.900,1.091,1.070
200,2,hetW,1.69,W,LOS,sun4,0.12532824277877808,0.04977579787373543,0.10743476450443268,0.044673435389995575,0.08939540386199951,0.050238825380802155,0.11432039737701416,0.046602748334407806,0.09742458909749985,0.689,0.402,0.371
200,2,hetW,1.69,W,LOS,sun15,1.2198467254638672,0.5765491724014282,0.9884566068649292,0.4476219117641449,0.5573243498802185,0.7958849668502808,2.1515538692474365,0.998968243598938,1.7638943195343018,0.689,0.402,0.371
200,2,hetW,1.69,W,LOS,gc15,1.3087207078933716,0.6037666201591492,1.0738654136657715,0.481942355632782,0.5840558409690857,0.8667622208595276,2.667147159576416,1.1069755554199219,2.274855613708496,0.689,0.402,0.371
200,2,hetW,1.69,W,LOS+Sun+rho,sun4,0.1236574575304985,0.0484086349606514,0.10567659139633179,0.0525641143321991,0.0833815336227417,0.04430343583226204,0.11112337559461594,0.044953979551792145,0.0943744033575058,0.737,0.414,0.394
200,2,hetW,1.69,W,LOS+Sun+rho,sun15,0.8246044516563416,0.37137964367866516,0.6782255172729492,0.366949200630188,0.3851333558559418,0.4914364218711853,1.344549298286438,0.6556298136711121,1.0790235996246338,0.737,0.414,0.394
200,2,hetW,1.69,W,LOS+Sun+rho,gc15,0.8844362497329712,0.4004054069519043,0.7242450714111328,0.39385879039764404,0.4049949049949646,0.5327368974685669,1.6704432964324951,0.7463061809539795,1.3806977272033691,0.737,0.414,0.394
200,2,hetC,1.69,C,LOS,sun4,0.12477457523345947,0.04932919889688492,0.10721077024936676,0.04011392965912819,0.09499628841876984,0.04601496458053589,0.11114974319934845,0.04452833905816078,0.09529551863670349,0.708,0.407,0.367
