n_samples,trial,mode,region,rel_err,neg_frac,rel_los,rel_trv,rel_R,rel_z,rel_phi
200,1,LOS,gc15,0.18511348962783813,0.02734375,0.07182510942220688,0.16062062978744507,0.06755538284778595,0.1068756952881813,0.10079247504472733
200,1,LOS+Sun,gc15,0.18702954053878784,0.02734375,0.07688875496387482,0.15880611538887024,0.06705044955015182,0.1057998389005661,0.103703573346138
200,1,LOS+rho,gc15,0.1602632701396942,0.01953125,0.06469742953777313,0.13770630955696106,0.07692310214042664,0.08838482201099396,0.07873509079217911
200,1,LOS+Sun+rho,gc15,0.18000933527946472,0.025390625,0.07430712133646011,0.15357628464698792,0.10333321988582611,0.09009728580713272,0.08173498511314392
200,2,3D,sun4,0.016666386276483536,0.009765625,0.006214058957993984,0.014390472322702408,0.006843001581728458,0.0139375114813447,0.0011195627739652991
200,2,LOS,sun4,0.042982716113328934,0.0,0.009722959250211716,0.040326520800590515,0.011078057810664177,0.03837504982948303,0.005342776887118816
200,2,LOS+Sun,sun4,0.038818974047899246,0.0,0.005807946901768446,0.03733382374048233,0.005206388421356678,0.03717423975467682,0.003298442577943206
200,2,LOS+rho,sun4,0.036155980080366135,0.0,0.005586372688412666,0.0346376970410347,0.004646429792046547,0.03479478880763054,0.002739271614700556
200,2,LOS+Sun+rho,sun4,0.03983014449477196,0.0,0.011307070963084698,0.03677498549222946,0.01720293238759041,0.032889217138290405,0.003931022714823484
200,2,3D,sun15,0.2621690332889557,0.146484375,0.16622702777385712,0.17222902178764343,0.15278282761573792,0.15424516797065735,0.07067905366420746
200,2,LOS,sun15,0.23008306324481964,0.11328125,0.13410915434360504,0.15706193447113037,0.12756529450416565,0.1301482915878296,0.06428788602352142
200,2,LOS+Sun,sun15,0.2297755777835846,0.10546875,0.13900788128376007,0.15543057024478912,0.1370660364627838,0.12060603499412537,0.06631583720445633
200,2,LOS+rho,sun15,0.21830998361110687,0.041015625,0.12382550537586212,0.15500497817993164,0.13274332880973816,0.11895594745874405,0.055517565459012985
200,2,LOS+Sun+rho,sun15,0.2112409621477127,0.044921875,0.11978226900100708,0.15061621367931366,0.1300233006477356,0.11318154633045197,0.05489175394177437
200,2,3D,gc15,0.23612049221992493,0.099609375,0.14756566286087036,0.16266988217830658,0.1338863968849182,0.12866359949111938,0.08595804870128632
200,2,LOS,gc15,0.21380379796028137,0.0625,0.12126713991165161,0.15581057965755463,0.1169028952717781,0.11779111623764038,0.07729540020227432
200,2,LOS+Sun,gc15,0.21699745953083038,0.064453125,0.1292358785867691,0.1561092734336853,0.129024475812912,0.10683850198984146,0.08050660043954849
200,2,LOS+rho,gc15,0.16685259342193604,0.03515625,0.0791042372584343,0.13588155806064606,0.08796679973602295,0.09794053435325623,0.05605539306998253
