n_samples,trial,mode,region,rel_err,neg_frac,rel_los,rel_trv,rel_R,rel_z,rel_phi
100,0,LOS,gc15,0.3046039938926697,0.060546875,0.17458467185497284,0.2199176847934723,0.1571229100227356,0.18014858663082123,0.12119421362876892
100,0,LOS+Sun,gc15,0.24991872906684875,0.0546875,0.12251093238592148,0.19804692268371582,0.13762685656547546,0.13467013835906982,0.1092676892876625
100,0,LOS+rho,gc15,0.2541693449020386,0.05078125,0.1311928778886795,0.19773243367671967,0.16477471590042114,0.13087864220142365,0.08551185578107834
100,0,LOS+Sun+rho,gc15,0.24800074100494385,0.05078125,0.13021491467952728,0.19102850556373596,0.16477340459823608,0.12889185547828674,0.07839173823595047
200,0,3D,sun4,0.08178077638149261,0.00390625,0.02343866229057312,0.07359976321458817,0.019957982003688812,0.07390446960926056,0.008276236243546009
200,0,LOS,sun4,0.09250963479280472,0.0,0.0204392708837986,0.08639165014028549,0.013421721756458282,0.08809909224510193,0.011320501565933228
200,0,LOS+Sun,sun4,0.10120516270399094,0.0,0.026607844978570938,0.093353271484375,0.028782257810235023,0.09171722084283829,0.010971037670969963
200,0,LOS+rho,sun4,0.10027705132961273,0.0,0.02787071466445923,0.09171595424413681,0.024323636665940285,0.0894237831234932,0.02298777922987938
200,0,LOS+Sun+rho,sun4,0.10011177510023117,0.0,0.026049764826893806,0.09226959943771362,0.03013434447348118,0.09001411497592926,0.010623005218803883
200,0,3D,sun15,0.4601452350616455,0.17578125,0.3518082797527313,0.24489063024520874,0.25220218300819397,0.2119140475988388,0.19361737370491028
200,0,LOS,sun15,0.36304473876953125,0.169921875,0.24340352416038513,0.221785306930542,0.21910107135772705,0.1701870858669281,0.12599006295204163
200,0,LOS+Sun,sun15,0.3546607196331024,0.16796875,0.24480925500392914,0.21019983291625977,0.22118420898914337,0.1649066060781479,0.11551693826913834
200,0,LOS+rho,sun15,0.4489189386367798,0.06640625,0.32238075137138367,0.25708436965942383,0.3177620768547058,0.2015039175748825,0.10729613155126572
200,0,LOS+Sun+rho,sun15,0.4539162814617157,0.064453125,0.3315257728099823,0.2547639310359955,0.3252068758010864,0.20160627365112305,0.10365103930234909
200,0,3D,gc15,0.35517165064811707,0.078125,0.21442025899887085,0.24780835211277008,0.14089345932006836,0.16354185342788696,0.22580116987228394
200,0,LOS,gc15,0.2543112635612488,0.078125,0.1360883265733719,0.19096779823303223,0.12206993997097015,0.12153021991252899,0.13759411871433258
