n_samples,trial,setting,sigma_mmsyr,arm,mode,region,rel_err,rel_los,rel_trv,rel_R,rel_z,rel_phi,train_chi,train_err_true_mmsyr
100,1,het,2.17,plain,LOS+Sun+rho,sun4,0.4722733795642853,0.20427995920181274,0.3930850028991699,0.15007880330085754,0.3504702150821686,0.18183854222297668,0.571,1.289
100,1,het,2.17,plain,LOS+Sun+rho,sun15,5.570511817932129,4.157711982727051,3.139880657196045,2.5343315601348877,2.573995351791382,3.430449962615967,0.571,1.289
100,1,het,2.17,plain,LOS+Sun+rho,gc15,8.044816970825195,6.913384914398193,3.400383949279785,4.886667728424072,3.1604394912719727,3.9877185821533203,0.571,1.289
100,1,hetW,2.17,W,LOS,sun4,0.15638045966625214,0.06819948554039001,0.12974420189857483,0.055302564054727554,0.10324817895889282,0.06979244947433472,0.577,0.478
100,1,hetW,2.17,W,LOS,sun15,1.1628234386444092,0.5396773219108582,0.9365355968475342,0.548591136932373,0.6398773193359375,0.5734124779701233,0.577,0.478
100,1,hetW,2.17,W,LOS,gc15,1.104244351387024,0.5027704834938049,0.9004068374633789,0.4927968382835388,0.6287605166435242,0.5475729703903198,0.577,0.478
100,1,hetW,2.17,W,LOS+Sun+rho,sun4,0.15567035973072052,0.06695632636547089,0.12843509018421173,0.060902927070856094,0.10369714349508286,0.06457024812698364,0.571,0.440
100,1,hetW,2.17,W,LOS+Sun+rho,sun15,0.7688310742378235,0.45328032970428467,0.5562952756881714,0.3524012565612793,0.2801832854747772,0.4962916076183319,0.571,0.440
100,1,hetW,2.17,W,LOS+Sun+rho,gc15,0.8873459100723267,0.588951587677002,0.5804356932640076,0.4649628698825836,0.25197672843933105,0.5642848014831543,0.571,0.440
100,1,hetC,2.17,C,LOS,sun4,0.3137311637401581,0.1425674706697464,0.2476750612258911,0.06783207505941391,0.2538073658943176,0.11186806857585907,0.531,0.672
100,1,hetC,2.17,C,LOS,sun15,5.310013771057129,2.9327991008758545,4.045767784118652,1.8437769412994385,3.2152187824249268,3.0857906341552734,0.531,0.672
100,1,hetC,2.17,C,LOS,gc15,5.259690761566162,2.9187488555908203,3.995633125305176,1.9016450643539429,3.1613945960998535,2.9610960483551025,0.531,0.672
100,1,hetC,2.17,C,LOS+Sun+rho,sun4,0.13043782114982605,0.05070564150810242,0.11113081872463226,0.03985859826207161,0.09431286156177521,0.05295560508966446,0.602,0.347
100,1,hetC,2.17,C,LOS+Sun+rho,sun15,0.6365046501159668,0.36304908990859985,0.46464431285858154,0.30376532673835754,0.2818237245082855,0.33965927362442017,0.602,0.347
100,1,hetC,2.17,C,LOS+Sun+rho,gc15,0.5698820948600769,0.3011401891708374,0.4460565149784088,0.23645813763141632,0.2510360777378082,0.3633642792701721,0.602,0.347
100,1,s1.7W,1.70,W,LOS,sun4,0.4298096299171448,0.18640311062335968,0.34855279326438904,0.14726994931697845,0.28485846519470215,0.190964937210083,0.503,1.052
100,1,s1.7W,1.70,W,LOS,sun15,2.002875566482544,0.9602823257446289,1.639829397201538,0.6763514876365662,1.4149755239486694,0.8155003786087036,0.503,1.052
100,1,s1.7W,1.70,W,LOS,gc15,2.0404601097106934,0.9953007698059082,1.655487298965454,0.7561768293380737,1.4138870239257812,0.8138447403907776,0.503,1.052
100,1,s1.7W,1.70,W,LOS+Sun+rho,sun4,0.3522809147834778,0.15800946950912476,0.2833775281906128,0.14995215833187103,0.23931479454040527,0.12429363280534744,0.534,0.926
100,1,s1.7W,1.70,W,LOS+Sun+rho,sun15,2.1276564598083496,1.5445879697799683,1.2554073333740234,0.9959955215454102,0.7515358924865723,1.4011194705963135,0.534,0.926
100,1,s1.7W,1.70,W,LOS+Sun+rho,gc15,3.637836217880249,3.112215518951416,1.5759106874465942,2.4223902225494385,0.8566762208938599,1.9440710544586182,0.534,0.926
100,1,s1.7C,1.70,C,LOS,sun4,0.5565301179885864,0.20757217705249786,0.47401347756385803,0.18206731975078583,0.41322585940361023,0.18708157539367676,0.512,1.012
100,1,s1.7C,1.70,C,LOS,sun15,4.233162879943848,1.79375159740448,3.558375358581543,1.4443243741989136,2.4260590076446533,2.2401764392852783,0.512,1.012
100,1,s1.7C,1.70,C,LOS,gc15,4.411616802215576,1.680938720703125,3.837803363800049,1.4931461811065674,2.4795620441436768,2.4249629974365234,0.512,1.012
100,1,s1.7C,1.70,C,LOS+Sun+rho,sun4,0.39973610639572144,0.13709357380867004,0.35151633620262146,0.15869462490081787,0.26379573345184326,0.14832711219787598,0.607,0.910
100,1,s1.7C,1.70,C,LOS+Sun+rho,sun15,1.4045696258544922,0.9244527816772461,0.9104053974151611,0.7221840620040894,0.6054682731628418,0.7430174946784973,0.607,0.910
100,1,s1.7C,1.70,C,LOS+Sun+rho,gc15,1.7107224464416504,1.302750825881958,0.8795339465141296,1.0216175317764282,0.6266608238220215,0.8981302976608276,0.607,0.910
100,2,s0,0.00,plain,LOS,sun4,0.056379277259111404,0.012471803463995457,0.0526714026927948,0.011684365570545197,0.05249025672674179,0.0064211697317659855,nan,0.083
100,2,s0,0.00,plain,LOS,sun15,0.3097947835922241,0.17594578862190247,0.21908774971961975,0.17898884415626526,0.16362091898918152,0.09441476315259933,nan,0.083
100,2,s0,0.00,plain,LOS,gc15,0.29803451895713806,0.17035076022148132,0.21829535067081451,0.17528873682022095,0.1451498121023178,0.10910462588071823,nan,0.083
100,2,s0,0.00,plain,LOS+Sun+rho,sun4,0.03437263146042824,0.006904762703925371,0.0326329842209816,0.006997246295213699,0.03157757222652435,0.005144696682691574,nan,0.055
100,2,s0,0.00,plain,LOS+Sun+rho,sun15,0.20952974259853363,0.12220662087202072,0.14701160788536072,0.12978994846343994,0.10910819470882416,0.056704893708229065,nan,0.055
